,Value,Description,Source
Latitude,35.0154525,,
Longitude,126.5553379,,
Altitude,57.027,,
Type,Field,,
Installed,10/18/25,,
Landcover_classification,Not Redeveloped Field,Level-3 Land Cover Map,"The Environmental Geographic Information Service by the Ministry of Climate, Energy and Environment, Republic of Korea"
Clay_fraction,18.0,Korean Soil Information System Data,"National Institute of Agricultural Sciences under the Rural Development Administration, Republic of Korea"
Organic_carbon,2.7,Korean Soil Information System Data,"National Institute of Agricultural Sciences under the Rural Development Administration, Republic of Korea"
Sand_fraction,25.4,Korean Soil Information System Data,"National Institute of Agricultural Sciences under the Rural Development Administration, Republic of Korea"
Silt_fraction,56.5,Korean Soil Information System Data,"National Institute of Agricultural Sciences under the Rural Development Administration, Republic of Korea"
Climate_classification,Cfa,Koeppen-Geiger 2007,Koeppen-Geiger Climate Classification
Climate_classification,Cfa,Koeppen-Geiger 2017,Version 2017 Koeppen-Geiger Climate Classification
