station_id,lat,lon,elevation_m,land_cover,install_date,sensor_model,sensor_flavors,depths_cm,clay_pct,sand_pct,silt_pct,organic_carbon_pct,climate,notes
HP0102,35.0196304,126.5474245,50.513,Coniferous Forest,2026-02-25,METER TEROS-12,"root, tree","-100, 10",29.5,21.1,52.6,5.1,Cfa,
HP0103,35.0192358,126.5463303,36.3,Other Grassland,2026-02-25,METER TEROS-12,soil,10,29.5,21.1,52.6,5.1,Cfa,
HP0301,35.0145375,126.5458682,12.577,Not Redeveloped Rice Paddy,2025-10-28,METER TEROS-12,"bank, irr","10, 20",20.0,32.6,47.4,0.3,Cfa,
HP0304,35.0156456,126.5462929,37.619,Deciduous Forest,2025-10-18,METER TEROS-12,"root, tree","-100, 10",29.5,21.1,52.6,5.1,Cfa,
HP0305,35.0154376,126.5465411,41.45,Deciduous Forest,2025-10-18,METER TEROS-12,"root, tree","-100, 10",26.4,5.8,67.8,1.4,Cfa,
HP0306,35.0155678,126.5476195,17.168,Not Redeveloped Field,2025-10-28,METER TEROS-12,field,10,20.0,32.6,47.4,0.3,Cfa,
HP0307,35.0143166,126.5464794,11.254,Redeveloped Rice Paddy,2025-10-18,METER TEROS-12,"bank, irr","10, 20",20.0,32.6,47.4,0.3,Cfa,
HP0501,35.0112624,126.546764,29.318,Other Grassland,2025-11-04,METER TEROS-12,soil,10,29.5,21.1,52.6,5.1,Cfa,
HP0502,35.0118673,126.546928,21.326,Not Redeveloped Field,2026-02-25,METER TEROS-12,soil,10,29.5,21.1,52.6,5.1,Cfa,
HP0503,35.0110971,126.5458706,44.374,Deciduous Forest,2026-02-25,METER TEROS-12,"root, tree","-100, 10",29.5,21.1,52.6,5.1,Cfa,
HP0701,35.0178151,126.5494851,27.673,Other Grassland,2026-02-23,METER TEROS-12,soil,10,20.0,32.6,47.4,0.3,Cfa,
HP0702,35.0173467,126.5481302,23.542,Not Redeveloped Field,2026-02-25,METER TEROS-12,field,10,26.4,5.8,67.8,1.4,Cfa,
HP0901,35.012643,126.5494242,6.488,Redeveloped Rice Paddy,2025-10-16,METER TEROS-12,"bank, irr","10, 20",20.0,32.6,47.4,0.3,Cfa,
HP0902,35.0134138,126.5487843,12.21,Redeveloped Rice Paddy,2026-02-20,METER TEROS-12,"bank, irr","10, 20",20.0,32.6,47.4,0.3,Cfa,
HP0903,35.0127796,126.5487735,11.019,Redeveloped Rice Paddy,2026-02-20,METER TEROS-12,"bank, irr","10, 20",20.0,32.6,47.4,0.3,Cfa,
HP1001,35.0119283,126.5496695,17.055,Not Redeveloped Rice Paddy,2025-06-05,METER TEROS-12,"bank, irr","10, 20",20.0,32.6,47.4,0.3,Cfa,
HP1101,35.0194271,126.5505783,73.186,Mixed Forest,2025-10-18,METER TEROS-12,"root, tree","-100, 10",24.1,20.8,55.1,1.1,Cfa,
HP1102,35.0191023,126.5509698,63.114,Coniferous Forest,2025-10-18,METER TEROS-12,"root, tree","-100, 10",16.7,23.0,60.3,2.1,Cfa,
HP1103,35.0182637,126.5498923,48.377,Deciduous Forest,2025-10-17,METER TEROS-12,"root, tree","-100, 10",28.4,15.3,56.3,3.3,Cfa,
HP1201,35.0176086,126.5502523,39.509,Deciduous Forest,2025-10-17,METER TEROS-12,"root, tree","-100, 10",28.4,15.3,56.3,3.3,Cfa,
HP1301,35.0149068,126.5509563,14.941,Not Redeveloped Rice Paddy,2025-06-05,METER TEROS-12,"bank, irr","10, 20",29.5,21.1,52.6,5.1,Cfa,
HP1302,35.0159975,126.5507187,19.719,Not Redeveloped Rice Paddy,2026-02-26,METER TEROS-12,"bank, irr","10, 20",23.7,10.8,65.5,3.2,Cfa,
HP1501,35.0113789,126.5499413,22.012,Not Redeveloped Field,2025-10-16,METER TEROS-12,field,10,20.0,32.6,47.4,0.3,Cfa,
HP1502,35.0117853,126.5508375,17.396,Redeveloped Rice Paddy,2025-10-16,METER TEROS-12,"bank, irr","10, 20",20.0,32.6,47.4,0.3,Cfa,
HP1503,35.0116702,126.5503273,20.536,Not Redeveloped Rice Paddy,2025-10-18,METER TEROS-12,"bank, irr","10, 20",20.0,32.6,47.4,0.3,Cfa,
HP1504,35.0105969,126.5510403,23.144,Not Redeveloped Rice Paddy,2025-10-16,METER TEROS-12,"bank, irr","10, 20",20.0,32.6,47.4,0.3,Cfa,
HP1505,35.010425,126.5514092,32.399,Deciduous Forest,2025-10-16,METER TEROS-12,"root, tree","-100, 10",20.0,32.6,47.4,0.3,Cfa,
HP1701,35.0176604,126.5524424,15.694,Not Redeveloped Rice Paddy,2026-02-23,METER TEROS-12,"bank, irr","10, 20",16.7,23.0,60.3,2.1,Cfa,
HP1702,35.0169445,126.5531162,29.719,Not Redeveloped Field,2026-02-23,METER TEROS-12,field,10,16.7,23.0,60.3,2.1,Cfa,
HP1703,35.0169211,126.5525879,33.308,Mixed Forest,2026-02-23,METER TEROS-12,"root, tree","-100, 10",16.7,23.0,60.3,2.1,Cfa,
HP1901,35.0138306,126.5532907,17.775,Not Redeveloped Field,2026-02-25,METER TEROS-12,field,10,29.5,21.1,52.6,5.1,Cfa,
HP1902,35.0128917,126.5534922,14.065,Redeveloped Rice Paddy,2026-02-25,METER TEROS-12,"bank, irr","10, 20",20.0,32.6,47.4,0.3,Cfa,
HP2001,35.012181,126.5532211,14.02,Redeveloped Rice Paddy,2026-03-11,METER TEROS-12,"bank, irr","10, 20",20.0,32.6,47.4,0.3,Cfa,
HP2002,35.011605,126.5530894,14.84,Redeveloped Rice Paddy,2026-03-11,METER TEROS-12,"bank, irr","10, 20",20.0,32.6,47.4,0.3,Cfa,
HP2101,35.019371,126.5542466,49.639,Not Redeveloped Field,2025-10-31,METER TEROS-12,field,10,16.7,23.0,60.3,2.1,Cfa,
HP2102,35.0193104,126.5547701,61.396,Deciduous Forest,2026-02-20,METER TEROS-12,"root, tree","-100, 10",16.7,23.0,60.3,2.1,Cfa,
HP2103,35.0190276,126.5541135,55.954,Coniferous Forest,2026-02-20,METER TEROS-12,"root, tree","-100, 10",16.7,23.0,60.3,2.1,Cfa,
HP2301,35.0155836,126.5546555,54.285,Deciduous Forest,2025-10-18,METER TEROS-12,"root, tree","-100, 10",28.4,15.3,56.3,3.3,Cfa,
HP2302,35.0154346,126.5544666,35.971,Other Grassland,2025-12-17,METER TEROS-12,soil,10,28.4,15.3,56.3,3.3,Cfa,
HP2303,35.0144932,126.5540227,29.791,Mixed Forest,2025-10-18,METER TEROS-12,"root, tree","-100, 10",29.5,21.1,52.6,5.1,Cfa,
HP2304,35.0148729,126.5548971,54.603,Coniferous Forest,2025-10-18,METER TEROS-12,"root, tree","-100, 10",27.7,20.5,51.8,1.3,Cfa,
HP2305,35.0154525,126.5553379,57.027,Not Redeveloped Field,2025-10-18,METER TEROS-12,field,10,18.0,25.4,56.5,2.7,Cfa,
HP2401,35.0130356,126.5548018,28.996,Deciduous Forest,2025-10-31,METER TEROS-12,"root, tree","-100, 10",27.7,20.5,51.8,1.3,Cfa,
HP2402,35.01255,126.5546443,13.164,Redeveloped Rice Paddy,2025-10-31,METER TEROS-12,"bank, irr","10, 20",20.0,32.6,47.4,0.3,Cfa,
HP2501,35.012005,126.553948,17.44,Redeveloped Rice Paddy,2026-03-11,METER TEROS-12,"bank, irr","10, 20",20.0,32.6,47.4,0.3,Cfa,
HP2502,35.0115247,126.5547517,13.7,Redeveloped Rice Paddy,2026-02-25,METER TEROS-12,"bank, irr","10, 20",20.0,32.6,47.4,0.3,Cfa,
HP2503,35.0112052,126.5546734,23.907,Coniferous Forest,2026-02-23,METER TEROS-12,"root, tree","-100, 10",29.5,21.1,52.6,5.1,Cfa,
