time,sm_root_10cm,sm_tree_above,temp_root_10cm,temp_tree_above
2026-02-20 06:35:00,0.246,0.288,6.7,12.8
2026-02-20 06:40:00,0.246,0.288,6.4,12.7
2026-02-20 06:45:00,0.246,0.289,6.3,12.6
2026-02-20 06:50:00,0.246,0.29,6.2,12.6
2026-02-20 06:55:00,0.246,0.291,6.1,12.6
2026-02-20 07:00:00,0.246,0.292,6.0,12.5
2026-02-20 07:05:00,0.246,0.293,6.0,12.4
2026-02-20 07:10:00,0.246,0.294,5.9,12.2
2026-02-20 07:15:00,0.246,0.294,5.9,12.2
2026-02-20 07:20:00,0.246,0.295,5.8,12.1
2026-02-20 07:25:00,0.246,0.296,5.8,12.1
2026-02-20 07:30:00,0.246,0.296,5.8,12.1
2026-02-20 07:35:00,0.246,0.297,5.8,12.0
2026-02-20 07:40:00,0.246,0.297,5.8,12.0
2026-02-20 07:45:00,0.246,0.298,5.7,11.9
2026-02-20 07:50:00,0.246,0.299,5.7,11.9
2026-02-20 07:55:00,0.246,0.299,5.7,11.9
2026-02-20 08:00:00,0.246,0.3,5.7,11.8
2026-02-20 08:05:00,0.245,0.3,5.7,11.6
2026-02-20 08:10:00,0.245,0.301,5.7,11.5
2026-02-20 08:15:00,0.245,0.301,5.7,11.4
2026-02-20 08:20:00,0.245,0.302,5.7,11.3
2026-02-20 08:25:00,0.245,0.302,5.7,11.2
2026-02-20 08:30:00,0.245,0.303,5.7,11.1
2026-02-20 08:35:00,0.245,0.303,5.7,11.1
2026-02-20 08:40:00,0.245,0.303,5.7,11.0
2026-02-20 08:45:00,0.245,0.304,5.7,10.9
2026-02-20 08:50:00,0.245,0.304,5.7,10.8
2026-02-20 08:55:00,0.245,0.305,5.7,10.6
2026-02-20 09:00:00,0.245,0.305,5.7,10.5
2026-02-20 09:05:00,0.245,0.305,5.7,10.4
2026-02-20 09:10:00,0.245,0.306,5.7,10.2
2026-02-20 09:15:00,0.245,0.306,5.7,10.1
2026-02-20 09:20:00,0.245,0.306,5.7,10.0
2026-02-20 09:25:00,0.245,0.307,5.7,9.7
2026-02-20 09:30:00,0.245,0.307,5.7,9.5
2026-02-20 09:35:00,0.245,0.307,5.7,9.3
2026-02-20 09:40:00,0.245,0.308,5.7,9.1
2026-02-20 09:45:00,0.245,0.308,5.7,9.0
2026-02-20 09:50:00,0.245,0.309,5.7,9.0
2026-02-20 09:55:00,0.245,0.309,5.7,8.9
2026-02-20 10:00:00,0.245,0.309,5.7,8.9
2026-02-20 10:05:00,0.245,0.309,5.7,8.9
2026-02-20 10:10:00,0.245,0.31,5.7,8.8
2026-02-20 10:15:00,0.245,0.31,5.7,8.7
2026-02-20 10:20:00,0.245,0.31,5.7,8.6
2026-02-20 10:25:00,0.245,0.31,5.7,8.5
2026-02-20 10:30:00,0.245,0.311,5.7,8.4
2026-02-20 10:35:00,0.245,0.311,5.7,8.3
2026-02-20 10:40:00,0.245,0.311,5.7,8.2
2026-02-20 10:45:00,0.244,0.311,5.7,8.2
2026-02-20 10:50:00,0.245,0.311,5.7,8.1
2026-02-20 10:55:00,0.244,0.312,5.8,8.1
2026-02-20 11:00:00,0.245,0.312,5.8,8.0
2026-02-20 11:05:00,0.245,0.312,5.8,8.0
2026-02-20 11:10:00,0.244,0.313,5.8,7.9
2026-02-20 11:15:00,0.244,0.313,5.8,7.8
2026-02-20 11:20:00,0.244,0.313,5.8,7.7
2026-02-20 11:25:00,0.244,0.313,5.8,7.6
2026-02-20 11:30:00,0.244,0.313,5.8,7.6
2026-02-20 11:35:00,0.244,0.313,5.8,7.5
2026-02-20 11:40:00,0.244,0.314,5.8,7.5
2026-02-20 11:45:00,0.244,0.314,5.8,7.4
2026-02-20 11:50:00,0.244,0.314,5.8,7.4
2026-02-20 11:55:00,0.244,0.314,5.8,7.3
2026-02-20 12:00:00,0.244,0.314,5.8,7.3
2026-02-20 12:05:00,0.244,0.314,5.8,7.3
2026-02-20 12:10:00,0.244,0.315,5.8,7.3
2026-02-20 12:15:00,0.244,0.315,5.8,7.2
2026-02-20 12:20:00,0.244,0.315,5.8,7.2
2026-02-20 12:25:00,0.244,0.315,5.8,7.1
2026-02-20 12:30:00,0.244,0.315,5.8,7.1
2026-02-20 12:35:00,0.244,0.315,5.8,7.1
2026-02-20 12:40:00,0.244,0.315,5.8,7.0
2026-02-20 12:45:00,0.244,0.316,5.8,7.0
2026-02-20 12:50:00,0.244,0.316,5.8,7.1
2026-02-20 12:55:00,0.244,0.316,5.8,7.1
2026-02-20 13:00:00,0.244,0.316,5.8,7.2
2026-02-20 13:05:00,0.244,0.316,5.8,7.2
2026-02-20 13:10:00,0.244,0.316,5.8,7.3
2026-02-20 13:15:00,0.244,0.316,5.8,7.4
2026-02-20 13:20:00,0.244,0.316,5.8,7.4
2026-02-20 13:25:00,0.244,0.316,5.8,7.4
2026-02-20 13:30:00,0.244,0.317,5.8,7.4
2026-02-20 13:35:00,0.244,0.316,5.8,7.4
2026-02-20 13:40:00,0.244,0.317,5.8,7.4
