time,sm_root_10cm,sm_tree_above,temp_root_10cm,temp_tree_above
2025-10-18 08:00:00,0.328,0.264,20.4,19.4
2025-10-18 09:00:00,0.327,0.267,20.2,18
2025-10-18 10:00:00,0.327,0.269,20.1,16.9
2025-10-18 11:00:00,0.327,0.27,19.9,16.4
2025-10-18 12:00:00,0.327,0.27,19.8,16.2
2025-10-18 13:00:00,0.327,0.271,19.6,16.1
2025-10-18 14:00:00,0.327,0.271,19.5,16.1
2025-10-18 15:00:00,0.327,0.272,19.4,15.9
2025-10-18 16:00:00,0.327,0.272,19.3,15.8
2025-10-18 17:00:00,0.327,0.272,19.2,15.6
2025-10-18 18:00:00,0.327,0.272,19.1,15.4
2025-10-18 19:00:00,0.327,0.273,19,15.4
2025-10-18 20:00:00,0.327,0.273,18.9,15.5
2025-10-18 21:00:00,0.327,0.273,18.9,15.5
2025-10-18 22:00:00,0.327,0.273,18.8,15.6
2025-10-18 23:00:00,0.327,0.273,18.8,16.2
2025-10-19 00:00:00,0.327,0.273,18.9,16.9
2025-10-19 01:00:00,0.327,0.273,19,17.7
2025-10-19 02:00:00,0.327,0.272,19.2,18.7
2025-10-19 03:00:00,0.326,0.272,19.4,19.5
2025-10-19 04:00:00,0.326,0.272,19.6,19.8
2025-10-19 05:00:00,0.326,0.272,19.7,19.6
2025-10-19 06:00:00,0.326,0.272,19.8,19.1
2025-10-19 07:00:00,0.326,0.272,19.7,18.5
2025-10-19 08:00:00,0.325,0.273,19.6,17.8
2025-10-19 09:00:00,0.326,0.272,19.5,17.2
2025-10-19 10:00:00,0.325,0.273,19.4,16.7
2025-10-19 11:00:00,0.325,0.273,19.2,16.1
2025-10-19 12:00:00,0.326,0.273,19.1,15.5
2025-10-19 13:00:00,0.326,0.273,18.9,14.9
2025-10-19 14:00:00,0.326,0.273,18.7,14.3
2025-10-19 15:00:00,0.326,0.272,18.5,14.2
2025-10-19 16:00:00,0.326,0.272,18.4,13.8
2025-10-19 17:00:00,0.326,0.272,18.2,13.2
2025-10-19 18:00:00,0.326,0.273,18,12.6
2025-10-19 19:00:00,0.326,0.273,17.8,11.9
2025-10-19 20:00:00,0.326,0.273,17.6,11.3
2025-10-19 21:00:00,0.326,0.273,17.3,10.5
2025-10-19 22:00:00,0.326,0.273,17.1,9.8
2025-10-19 23:00:00,0.326,0.273,16.9,10
2025-10-20 00:00:00,0.326,0.272,16.7,10.8
2025-10-20 01:00:00,0.326,0.271,16.6,12
2025-10-20 02:00:00,0.326,0.271,16.7,13.4
2025-10-20 03:00:00,0.326,0.271,16.7,14.5
2025-10-20 04:00:00,0.326,0.27,16.9,15.9
2025-10-20 05:00:00,0.325,0.27,17.1,16.2
2025-10-20 06:00:00,0.325,0.27,17.2,16.4
2025-10-20 07:00:00,0.325,0.27,17.3,16.7
2025-10-20 08:00:00,0.325,0.27,17.4,15.8
2025-10-20 09:00:00,0.324,0.271,17.3,14.1
2025-10-20 10:00:00,0.324,0.271,17.2,13.3
2025-10-20 11:00:00,0.324,0.271,17,13
2025-10-20 12:00:00,0.324,0.271,16.9,12.4
2025-10-20 13:00:00,0.325,0.271,16.7,12.5
2025-10-20 14:00:00,0.325,0.271,16.7,12.3
2025-10-20 15:00:00,0.325,0.271,16.6,11.9
2025-10-20 16:00:00,0.325,0.271,16.5,11.7
2025-10-20 17:00:00,0.325,0.271,16.4,11.5
2025-10-20 18:00:00,0.325,0.271,16.3,11.4
2025-10-20 19:00:00,0.325,0.271,16.2,11.5
2025-10-20 20:00:00,0.325,0.271,16.1,11.6
2025-10-20 21:00:00,0.325,0.271,16.1,11.6
2025-10-20 22:00:00,0.325,0.271,16,11.5
2025-10-20 23:00:00,0.325,0.271,16,11.7
2025-10-21 00:00:00,0.324,0.27,16,12.3
2025-10-21 01:00:00,0.324,0.27,16.1,13.3
2025-10-21 02:00:00,0.324,0.27,16.2,14
2025-10-21 03:00:00,0.324,0.27,16.3,14.3
2025-10-21 04:00:00,0.324,0.27,16.4,14.8
2025-10-21 05:00:00,0.323,0.27,16.6,15.4
2025-10-21 06:00:00,0.323,0.27,16.7,15.4
2025-10-21 07:00:00,0.323,0.27,16.8,15.1
2025-10-21 08:00:00,0.323,0.27,16.8,14.3
2025-10-21 09:00:00,0.323,0.27,16.7,13.6
2025-10-21 10:00:00,0.323,0.27,16.6,13
2025-10-21 11:00:00,0.323,0.27,16.4,12.7
2025-10-21 12:00:00,0.323,0.27,16.3,12.3
2025-10-21 13:00:00,0.323,0.27,16.2,11.8
2025-10-21 14:00:00,0.323,0.271,16.1,11.3
2025-10-21 15:00:00,0.323,0.271,15.9,10.9
2025-10-21 16:00:00,0.323,0.271,15.7,10.3
2025-10-21 17:00:00,0.323,0.271,15.6,9.7
2025-10-21 18:00:00,0.323,0.271,15.4,9.1
2025-10-21 19:00:00,0.323,0.271,15.2,8.6
2025-10-21 20:00:00,0.323,0.271,15,8.2
2025-10-21 21:00:00,0.323,0.271,14.9,7.8
2025-10-21 22:00:00,0.324,0.271,14.7,7.5
2025-10-21 23:00:00,0.324,0.27,14.5,8.2
2025-10-22 00:00:00,0.324,0.27,14.5,9.9
2025-10-22 01:00:00,0.324,0.269,14.6,11.9
2025-10-22 02:00:00,0.323,0.269,14.8,14.3
