date,sm_surface,sm_rootzone,soil_temp_c,precip_mm,et_mm
2025-06-02,,,,,2.69
2025-06-10,,,,,3.21
2025-06-18,,,,,2.9
2025-06-26,,,,,4.98
2025-07-04,,,,,4.7
2025-07-12,,,,,3.66
2025-07-20,,,,,5.09
2025-07-28,,,,,4.67
2025-08-05,,,,,3.81
2025-08-13,,,,,5.3
2025-08-21,,,,,4.79
2025-08-29,,,,,3.95
2025-09-06,,,,,3.48
2025-09-14,,,,,2.23
2025-09-22,,,,,2.44
2025-09-30,,,,,2.21
2025-10-08,,,,,2.45
2025-10-16,,,,,1.36
2025-10-24,,,,,1.12
2025-11-01,,,,,1.09
2025-11-09,,,,,0.95
2025-11-17,,,,,0.93
2025-11-25,,,,,0.78
2025-12-03,,,,,0.84
2025-12-11,,,,,0.84
2025-12-19,,,,,0.81
2025-12-27,,,,,0.45
2026-01-01,,,,,0.89
2026-01-09,,,,,0.8
2026-01-17,,,,,0.84
2026-01-25,,,,,0.78
2026-02-02,,,,,1.05
2026-02-10,,,,,0.96
2026-02-18,,,,,1.06
2026-02-26,,,,,1.29
2026-03-06,,,,,0.95
2026-03-14,,,,,0.95
2026-03-22,,,,,1.06
2026-03-30,,,,,1.55
2026-04-07,,,,,1.45
2026-04-15,,,,,1.75
2026-04-23,,,,,1.93
2026-05-01,,,,,2.45
2026-05-09,,,,,2.65
2026-05-17,,,,,2.68
2026-05-25,,,,,3.5
2026-06-02,,,,,2.78
2026-06-10,,,,,3.26
2026-06-18,,,,,3.64
