date,time,source,product,file,n,s,e,w,resolution_m,description
2025-01-01,00:00:00,modis,ndvi,HP_SAT_NDVI_20250101_0000.png,35.026379,35.00377,126.563992,126.537668,500.0,MODIS Terra MOD13A1 16-day NDVI composite
2025-01-01,02:21:11,hls,ndvi,HP_SAT_NDVI_20250101_0221.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-01-01,13:00:00,modis,lst,HP_SAT_LST_20250101_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2025-01-06,02:20:09,hls,ndvi,HP_SAT_NDVI_20250106_0220.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-01-09,13:00:00,modis,lst,HP_SAT_LST_20250109_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2025-01-12,02:11:36,hls,ndvi,HP_SAT_NDVI_20250112_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-01-12,02:12:00,landsat,lst,HP_SAT_LST_20250112_0212.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-01-13,02:05:45,landsat,lst,HP_SAT_LST_20250113_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-01-13,02:05:45,hls,ndvi,HP_SAT_NDVI_20250113_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-01-16,02:19:39,hls,ndvi,HP_SAT_NDVI_20250116_0219.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-01-17,00:00:00,modis,ndvi,HP_SAT_NDVI_20250117_0000.png,35.026379,35.00377,126.563992,126.537668,500.0,MODIS Terra MOD13A1 16-day NDVI composite
2025-01-17,13:00:00,modis,lst,HP_SAT_LST_20250117_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2025-01-20,02:11:29,hls,ndvi,HP_SAT_NDVI_20250120_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-01-20,02:11:53,landsat,lst,HP_SAT_LST_20250120_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-01-21,02:05:52,landsat,lst,HP_SAT_LST_20250121_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-01-21,02:05:52,hls,ndvi,HP_SAT_NDVI_20250121_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-01-21,02:20:11,hls,ndvi,HP_SAT_NDVI_20250121_0220.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-01-25,13:00:00,modis,lst,HP_SAT_LST_20250125_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2025-02-02,00:00:00,modis,ndvi,HP_SAT_NDVI_20250202_0000.png,35.026379,35.00377,126.563992,126.537668,500.0,MODIS Terra MOD13A1 16-day NDVI composite
2025-02-02,13:00:00,modis,lst,HP_SAT_LST_20250202_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2025-02-10,13:00:00,modis,lst,HP_SAT_LST_20250210_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2025-02-13,02:11:37,hls,ndvi,HP_SAT_NDVI_20250213_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-02-13,02:12:01,landsat,lst,HP_SAT_LST_20250213_0212.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-02-14,02:05:39,landsat,lst,HP_SAT_LST_20250214_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-02-14,02:05:39,hls,ndvi,HP_SAT_NDVI_20250214_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-02-18,00:00:00,modis,ndvi,HP_SAT_NDVI_20250218_0000.png,35.026379,35.00377,126.563992,126.537668,500.0,MODIS Terra MOD13A1 16-day NDVI composite
2025-02-18,13:00:00,modis,lst,HP_SAT_LST_20250218_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2025-02-21,02:11:23,hls,ndvi,HP_SAT_NDVI_20250221_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-02-21,02:11:47,landsat,lst,HP_SAT_LST_20250221_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-02-22,02:05:49,landsat,lst,HP_SAT_LST_20250222_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-02-22,02:05:49,hls,ndvi,HP_SAT_NDVI_20250222_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-02-25,02:16:09,hls,ndvi,HP_SAT_NDVI_20250225_0216.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-02-26,13:00:00,modis,lst,HP_SAT_LST_20250226_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2025-03-06,00:00:00,modis,ndvi,HP_SAT_NDVI_20250306_0000.png,35.026379,35.00377,126.563992,126.537668,500.0,MODIS Terra MOD13A1 16-day NDVI composite
2025-03-06,13:00:00,modis,lst,HP_SAT_LST_20250306_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2025-03-07,02:15:39,hls,ndvi,HP_SAT_NDVI_20250307_0215.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-03-09,02:11:18,hls,ndvi,HP_SAT_NDVI_20250309_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-03-09,02:11:42,landsat,lst,HP_SAT_LST_20250309_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-03-14,02:21:31,hls,ndvi,HP_SAT_NDVI_20250314_0221.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-03-14,13:00:00,modis,lst,HP_SAT_LST_20250314_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2025-03-17,02:11:48,landsat,lst,HP_SAT_LST_20250317_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-03-17,02:15:39,hls,ndvi,HP_SAT_NDVI_20250317_0215.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-03-22,00:00:00,modis,ndvi,HP_SAT_NDVI_20250322_0000.png,35.026379,35.00377,126.563992,126.537668,500.0,MODIS Terra MOD13A1 16-day NDVI composite
2025-03-22,02:16:01,hls,ndvi,HP_SAT_NDVI_20250322_0216.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-03-22,13:00:00,modis,lst,HP_SAT_LST_20250322_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2025-03-25,02:11:07,hls,ndvi,HP_SAT_NDVI_20250325_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-03-25,02:11:31,landsat,lst,HP_SAT_LST_20250325_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-03-26,02:05:32,landsat,lst,HP_SAT_LST_20250326_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-03-26,02:05:32,hls,ndvi,HP_SAT_NDVI_20250326_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-03-30,13:00:00,modis,lst,HP_SAT_LST_20250330_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2025-04-01,02:16:01,hls,ndvi,HP_SAT_NDVI_20250401_0216.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-04-02,02:11:15,hls,ndvi,HP_SAT_NDVI_20250402_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-04-02,02:11:39,landsat,lst,HP_SAT_LST_20250402_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-04-03,02:05:19,landsat,lst,HP_SAT_LST_20250403_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
