time,soil_moisture_10cm,soil_temperature_10cm,soil_moisture_20cm,soil_temperature_20cm,precipitation
2025-10-18 01:05:00,0.44,21.0,0.375,20.9,0.0
2025-10-18 01:10:00,0.44,21.0,0.375,20.9,0.0
2025-10-18 01:15:00,0.44,21.0,0.375,20.9,0.0
2025-10-18 01:20:00,0.44,21.0,0.375,20.9,0.0
2025-10-18 01:25:00,0.44,21.0,0.375,20.9,0.0
2025-10-18 01:30:00,0.44,21.0,0.375,20.9,0.0
2025-10-18 01:35:00,0.44,21.0,0.375,20.9,0.0
2025-10-18 01:40:00,0.44,21.0,0.375,20.9,0.0
2025-10-18 01:45:00,0.44,21.0,0.375,20.9,0.0
2025-10-18 01:50:00,0.44,21.0,0.375,20.9,0.0
2025-10-18 01:55:00,0.44,21.0,0.375,20.9,0.0
2025-10-18 02:00:00,0.439,21.0,0.375,20.9,0.0
2025-10-18 02:05:00,0.44,21.0,0.375,20.9,0.0
2025-10-18 02:10:00,0.439,21.0,0.375,20.9,0.0
2025-10-18 02:15:00,0.44,21.0,0.375,20.9,0.0
2025-10-18 02:20:00,0.44,21.0,0.375,20.9,0.0
2025-10-18 02:25:00,0.44,21.0,0.375,20.9,0.0
2025-10-18 02:30:00,0.439,21.0,0.375,20.9,0.0
2025-10-18 02:35:00,0.44,21.0,0.375,20.9,0.0
2025-10-18 02:40:00,0.439,21.0,0.375,20.9,0.0
2025-10-18 02:45:00,0.44,21.0,0.375,20.9,0.0
2025-10-18 02:50:00,0.439,21.0,0.375,20.9,0.0
2025-10-18 02:55:00,0.439,21.0,0.375,21.0,0.0
2025-10-18 03:00:00,0.439,21.1,0.375,21.0,0.0
2025-10-18 03:05:00,0.439,21.1,0.375,21.0,0.0
2025-10-18 03:10:00,0.439,21.1,0.375,21.0,0.0
2025-10-18 03:15:00,0.439,21.1,0.375,21.0,0.0
2025-10-18 03:20:00,0.439,21.1,0.375,21.1,0.0
2025-10-18 03:25:00,0.439,21.1,0.375,21.1,0.0
2025-10-18 03:30:00,0.439,21.2,0.375,21.1,0.0
2025-10-18 03:35:00,0.439,21.2,0.375,21.2,0.0
2025-10-18 03:40:00,0.439,21.2,0.375,21.2,0.0
2025-10-18 03:45:00,0.439,21.2,0.375,21.2,0.0
2025-10-18 03:50:00,0.439,21.2,0.375,21.2,0.0
2025-10-18 03:55:00,0.439,21.2,0.374,21.2,0.0
2025-10-18 04:00:00,0.439,21.2,0.375,21.2,0.0
