time,tree_SM,tree_temperature,soil_moisture_10cm,soil_temperature_10cm,precipitation
2025-10-18 09:10:00,0.363,19.1,0.26,19.9,0.0
2025-10-18 09:15:00,0.362,18.9,0.281,19.9,0.0
2025-10-18 09:20:00,0.362,18.6,0.286,19.9,0.0
2025-10-18 09:25:00,0.361,18.4,0.287,19.9,0.0
2025-10-18 09:30:00,0.361,18.2,0.287,19.9,0.0
2025-10-18 09:35:00,0.361,18.0,0.287,19.9,0.0
2025-10-18 09:40:00,0.361,17.9,0.287,19.9,0.0
2025-10-18 09:45:00,0.361,17.8,0.287,19.9,0.0
2025-10-18 09:50:00,0.361,17.7,0.287,19.9,0.0
2025-10-18 09:55:00,0.361,17.7,0.287,19.9,0.0
2025-10-18 10:00:00,0.361,17.6,0.287,19.9,0.0
2025-10-18 10:05:00,0.361,17.5,0.287,19.9,0.0
2025-10-18 10:10:00,0.361,17.4,0.287,19.9,0.0
2025-10-18 10:15:00,0.361,17.3,0.287,19.9,0.0
2025-10-18 10:20:00,0.361,17.3,0.287,19.9,0.0
2025-10-18 10:25:00,0.361,17.3,0.287,19.9,0.0
2025-10-18 10:30:00,0.361,17.3,0.287,19.9,0.0
2025-10-18 10:35:00,0.361,17.3,0.287,19.9,0.0
2025-10-18 10:40:00,0.361,17.2,0.287,19.8,0.0
2025-10-18 10:45:00,0.361,17.1,0.287,19.8,0.0
2025-10-18 10:50:00,0.361,17.1,0.287,19.8,0.0
2025-10-18 10:55:00,0.361,17.0,0.287,19.8,0.0
2025-10-18 11:00:00,0.361,17.0,0.287,19.8,0.0
2025-10-18 11:05:00,0.361,17.0,0.287,19.8,0.0
2025-10-18 11:10:00,0.361,17.0,0.287,19.8,0.0
2025-10-18 11:15:00,0.361,17.0,0.287,19.8,0.0
2025-10-18 11:20:00,0.361,17.0,0.287,19.8,0.0
2025-10-18 11:25:00,0.361,17.0,0.287,19.8,0.0
2025-10-18 11:30:00,0.361,16.9,0.287,19.8,0.0
2025-10-18 11:35:00,0.361,16.9,0.287,19.8,0.0
2025-10-18 11:40:00,0.361,16.9,0.287,19.7,0.0
2025-10-18 11:45:00,0.362,16.9,0.287,19.7,0.0
2025-10-18 11:50:00,0.362,16.8,0.287,19.7,0.0
2025-10-18 11:55:00,0.362,16.8,0.287,19.7,0.0
2025-10-18 12:00:00,0.362,16.8,0.287,19.7,0.0
2025-10-18 12:05:00,0.362,16.8,0.287,19.7,0.0
2025-10-18 12:10:00,0.362,16.8,0.287,19.7,0.0
2025-10-18 12:15:00,0.362,16.8,0.287,19.7,0.0
2025-10-18 12:20:00,0.362,16.8,0.287,19.7,0.0
2025-10-18 12:25:00,0.362,16.8,0.287,19.7,0.0
2025-10-18 12:30:00,0.362,16.8,0.287,19.6,0.0
2025-10-18 12:35:00,0.362,16.7,0.287,19.6,0.0
2025-10-18 12:40:00,0.362,16.7,0.287,19.6,0.0
2025-10-18 12:45:00,0.362,16.8,0.287,19.6,0.0
2025-10-18 12:50:00,0.362,16.8,0.287,19.6,0.0
2025-10-18 12:55:00,0.362,16.8,0.287,19.6,0.0
2025-10-18 13:00:00,0.362,16.7,0.287,19.6,0.0
2025-10-18 13:05:00,0.362,16.7,0.287,19.6,0.0
2025-10-18 13:10:00,0.363,16.7,0.287,19.6,0.0
2025-10-18 13:15:00,0.362,16.7,0.287,19.6,0.0
2025-10-18 13:20:00,0.362,16.7,0.287,19.6,0.0
2025-10-18 13:25:00,0.362,16.7,0.287,19.5,0.0
2025-10-18 13:30:00,0.362,16.7,0.287,19.5,0.0
2025-10-18 13:35:00,0.363,16.6,0.287,19.5,0.0
2025-10-18 13:40:00,0.362,16.6,0.287,19.5,0.0
2025-10-18 13:45:00,0.363,16.6,0.287,19.5,0.0
2025-10-18 13:50:00,0.363,16.6,0.287,19.5,0.0
2025-10-18 13:55:00,0.363,16.6,0.287,19.5,0.0
2025-10-18 14:00:00,0.363,16.6,0.287,19.5,0.0
2025-10-18 14:05:00,0.363,16.6,0.287,19.5,0.0
2025-10-18 14:10:00,0.363,16.6,0.287,19.5,0.0
2025-10-18 14:15:00,0.363,16.6,0.287,19.5,0.0
2025-10-18 14:20:00,0.363,16.6,0.287,19.4,0.0
2025-10-18 14:25:00,0.363,16.6,0.287,19.4,0.0
2025-10-18 14:30:00,0.363,16.5,0.287,19.4,0.0
2025-10-18 14:35:00,0.363,16.5,0.287,19.4,0.0
2025-10-18 14:40:00,0.363,16.5,0.287,19.4,0.0
2025-10-18 14:45:00,0.363,16.5,0.287,19.4,0.0
2025-10-18 14:50:00,0.363,16.5,0.287,19.4,0.0
2025-10-18 14:55:00,0.363,16.4,0.287,19.4,0.0
2025-10-18 15:00:00,0.363,16.4,0.287,19.4,0.0
2025-10-18 15:05:00,0.363,16.4,0.287,19.4,0.0
2025-10-18 15:10:00,0.364,16.4,0.287,19.4,0.0
2025-10-18 15:15:00,0.364,16.4,0.287,19.3,0.0
2025-10-18 15:20:00,0.364,16.4,0.287,19.3,0.0
2025-10-18 15:25:00,0.363,16.4,0.287,19.3,0.0
2025-10-18 15:30:00,0.364,16.4,0.287,19.3,0.0
2025-10-18 15:35:00,0.364,16.4,0.287,19.3,0.0
2025-10-18 15:40:00,0.364,16.4,0.287,19.3,0.0
2025-10-18 15:45:00,0.364,16.4,0.287,19.3,0.0
2025-10-18 15:50:00,0.364,16.4,0.287,19.3,0.0
2025-10-18 15:55:00,0.364,16.3,0.287,19.3,0.0
2025-10-18 16:00:00,0.364,16.3,0.287,19.3,0.0
2025-10-18 16:05:00,0.364,16.3,0.287,19.3,0.0
2025-10-18 16:10:00,0.364,16.2,0.287,19.3,0.0
2025-10-18 16:15:00,0.364,16.2,0.287,19.2,0.0
2025-10-18 16:20:00,0.364,16.2,0.287,19.2,0.0
2025-10-18 16:25:00,0.364,16.2,0.287,19.2,0.0
2025-10-18 16:30:00,0.364,16.2,0.287,19.2,0.0
2025-10-18 16:35:00,0.364,16.2,0.287,19.2,0.0
2025-10-18 16:40:00,0.364,16.2,0.287,19.2,0.0
2025-10-18 16:45:00,0.364,16.2,0.287,19.2,0.0
2025-10-18 16:50:00,0.364,16.2,0.287,19.2,0.0
2025-10-18 16:55:00,0.365,16.2,0.287,19.2,0.0
2025-10-18 17:00:00,0.364,16.2,0.287,19.2,0.0
2025-10-18 17:05:00,0.365,16.1,0.287,19.2,0.0
2025-10-18 17:10:00,0.365,16.1,0.287,19.2,0.0
2025-10-18 17:15:00,0.365,16.1,0.287,19.1,0.0
2025-10-18 17:20:00,0.365,16.1,0.287,19.1,0.0
2025-10-18 17:25:00,0.365,16.0,0.287,19.1,0.0
2025-10-18 17:30:00,0.365,16.0,0.287,19.1,0.0
2025-10-18 17:35:00,0.365,16.0,0.287,19.1,0.0
2025-10-18 17:40:00,0.365,16.0,0.287,19.1,0.0
2025-10-18 17:45:00,0.365,16.0,0.287,19.1,0.0
2025-10-18 17:50:00,0.365,16.0,0.287,19.1,0.0
2025-10-18 17:55:00,0.365,16.0,0.287,19.1,0.0
2025-10-18 18:00:00,0.365,15.9,0.287,19.1,0.0
2025-10-18 18:05:00,0.365,15.9,0.287,19.1,0.0
2025-10-18 18:10:00,0.365,15.9,0.287,19.1,0.0
2025-10-18 18:15:00,0.365,15.9,0.287,19.1,0.0
2025-10-18 18:20:00,0.365,15.9,0.287,19.0,0.0
2025-10-18 18:25:00,0.365,15.9,0.287,19.0,0.0
2025-10-18 18:30:00,0.365,15.9,0.287,19.0,0.0
2025-10-18 18:35:00,0.365,15.9,0.287,19.0,0.0
2025-10-18 18:40:00,0.365,15.8,0.287,19.0,0.0
2025-10-18 18:45:00,0.365,15.8,0.287,19.0,0.0
2025-10-18 18:50:00,0.366,15.7,0.287,19.0,0.0
2025-10-18 18:55:00,0.366,15.7,0.287,19.0,0.0
2025-10-18 19:00:00,0.366,15.7,0.287,19.0,0.0
2025-10-18 19:05:00,0.366,15.8,0.287,19.0,0.0
2025-10-18 19:10:00,0.366,15.8,0.287,19.0,0.0
2025-10-18 19:15:00,0.366,15.7,0.287,19.0,0.0
2025-10-18 19:20:00,0.366,15.7,0.287,19.0,0.0
2025-10-18 19:25:00,0.366,15.8,0.287,18.9,0.0
2025-10-18 19:30:00,0.366,15.8,0.287,18.9,0.0
2025-10-18 19:35:00,0.366,15.8,0.287,18.9,0.0
2025-10-18 19:40:00,0.366,15.8,0.287,18.9,0.0
2025-10-18 19:45:00,0.366,15.8,0.287,18.9,0.0
2025-10-18 19:50:00,0.366,15.8,0.287,18.9,0.0
2025-10-18 19:55:00,0.366,15.8,0.287,18.9,0.0
2025-10-18 20:00:00,0.366,15.8,0.287,18.9,0.0
2025-10-18 20:05:00,0.366,15.8,0.287,18.9,0.0
2025-10-18 20:10:00,0.366,15.9,0.287,18.9,0.0
2025-10-18 20:15:00,0.366,15.9,0.287,18.9,0.0
2025-10-18 20:20:00,0.366,15.9,0.287,18.9,0.0
2025-10-18 20:25:00,0.366,15.8,0.287,18.9,0.0
2025-10-18 20:30:00,0.366,15.8,0.287,18.8,0.0
2025-10-18 20:35:00,0.366,15.9,0.287,18.8,0.0
2025-10-18 20:40:00,0.366,15.9,0.287,18.8,0.0
2025-10-18 20:45:00,0.366,15.9,0.287,18.8,0.0
2025-10-18 20:50:00,0.366,15.9,0.287,18.8,0.0
2025-10-18 20:55:00,0.366,15.9,0.287,18.8,0.0
2025-10-18 21:00:00,0.366,15.9,0.287,18.8,0.0
2025-10-18 21:05:00,0.366,15.9,0.287,18.8,0.0
2025-10-18 21:10:00,0.366,15.8,0.287,18.8,0.0
2025-10-18 21:15:00,0.366,15.9,0.287,18.8,0.0
2025-10-18 21:20:00,0.366,15.9,0.287,18.8,0.0
2025-10-18 21:25:00,0.366,15.9,0.287,18.8,0.0
