time,soil_moisture_10cm,soil_temperature_10cm,soil_moisture_20cm,soil_temperature_20cm,precipitation
2026-03-11 08:00:00,0.306,7.8,,,0
2026-03-11 09:00:00,0.307,7.6,,,0
2026-03-11 10:00:00,0.308,7.4,,,0
2026-03-11 11:00:00,0.308,7.2,,,0
2026-03-11 12:00:00,0.308,6.9,,,0
2026-03-11 13:00:00,0.309,6.6,,,0
2026-03-11 14:00:00,0.309,6.3,,,0
2026-03-11 15:00:00,0.309,6,,,0
2026-03-11 16:00:00,0.309,5.8,,,0
2026-03-11 17:00:00,0.31,5.6,,,0
2026-03-11 18:00:00,0.31,5.4,,,0
2026-03-11 19:00:00,0.31,5.2,,,0
2026-03-11 20:00:00,0.31,5.1,,,0
2026-03-11 21:00:00,0.31,4.9,,,0
2026-03-11 22:00:00,0.31,4.8,,,0
2026-03-11 23:00:00,0.31,4.7,,,0
2026-03-12 00:00:00,0.311,4.5,,,0
2026-03-12 01:00:00,0.31,4.5,,,0
2026-03-12 02:00:00,0.31,4.9,,,0
2026-03-12 03:00:00,0.309,5.5,,,0
2026-03-12 04:00:00,0.309,6.3,,,0
2026-03-12 05:00:00,0.308,7.1,,,0
2026-03-12 06:00:00,0.308,7.8,,,0
2026-03-12 07:00:00,0.308,8.2,,,0
2026-03-12 08:00:00,0.308,8.5,,,0
2026-03-12 09:00:00,0.307,8.5,,,0
2026-03-12 10:00:00,0.307,8.4,,,0
2026-03-12 11:00:00,0.307,8.1,,,0
2026-03-12 12:00:00,0.308,7.8,,,0
2026-03-12 13:00:00,0.308,7.5,,,0
2026-03-12 14:00:00,0.308,7.2,,,0
2026-03-12 15:00:00,0.308,6.8,,,0
2026-03-12 16:00:00,0.309,6.6,,,0
2026-03-12 17:00:00,0.309,6.3,,,0
2026-03-12 18:00:00,0.309,6,,,0
2026-03-12 19:00:00,0.309,5.8,,,0
2026-03-12 20:00:00,0.309,5.6,,,0
2026-03-12 21:00:00,0.309,5.4,,,0
2026-03-12 22:00:00,0.31,5.2,,,0
2026-03-12 23:00:00,0.31,5,,,0
2026-03-13 00:00:00,0.31,4.9,,,0
2026-03-13 01:00:00,0.31,5,,,0
2026-03-13 02:00:00,0.309,5.4,,,0
2026-03-13 03:00:00,0.309,6.1,,,0
2026-03-13 04:00:00,0.308,6.9,,,0
2026-03-13 05:00:00,0.308,7.7,,,0
2026-03-13 06:00:00,0.307,8.4,,,0
2026-03-13 07:00:00,0.307,8.9,,,0
2026-03-13 08:00:00,0.306,9.2,,,0
2026-03-13 09:00:00,0.306,9.3,,,0
2026-03-13 10:00:00,0.306,9.2,,,0
2026-03-13 11:00:00,0.306,8.9,,,0
2026-03-13 12:00:00,0.307,8.5,,,0
2026-03-13 13:00:00,0.307,8.2,,,0
2026-03-13 14:00:00,0.307,7.8,,,0
2026-03-13 15:00:00,0.307,7.5,,,0
2026-03-13 16:00:00,0.307,7.2,,,0
2026-03-13 17:00:00,0.308,6.9,,,0
2026-03-13 18:00:00,0.308,6.6,,,0
2026-03-13 19:00:00,0.308,6.4,,,0
2026-03-13 20:00:00,0.308,6.1,,,0
2026-03-13 21:00:00,0.308,5.9,,,0
2026-03-13 22:00:00,0.309,5.7,,,0
2026-03-13 23:00:00,0.309,5.5,,,0
2026-03-14 00:00:00,0.309,5.4,,,0
2026-03-14 01:00:00,0.308,5.5,,,0
2026-03-14 02:00:00,0.308,6,,,0
2026-03-14 03:00:00,0.308,6.7,0.346,20.7,0
2026-03-14 04:00:00,0.309,7.5,0.343,12.2,0
2026-03-14 05:00:00,0.308,8.4,0.343,10.8,0
2026-03-14 06:00:00,0.307,9.1,0.342,11.3,0
2026-03-14 07:00:00,0.307,9.5,0.342,11.3,0
2026-03-14 08:00:00,0.307,9.7,0.342,10.9,0
2026-03-14 09:00:00,0.307,9.8,0.343,10.3,0
2026-03-14 10:00:00,0.307,9.6,0.346,9.6,0
2026-03-14 11:00:00,0.307,9.2,0.346,8.9,0
2026-03-14 12:00:00,0.307,8.8,0.347,8.2,0
2026-03-14 13:00:00,0.308,8.5,0.347,7.6,0
2026-03-14 14:00:00,0.308,8.2,0.347,7,0
2026-03-14 15:00:00,0.308,7.8,0.346,6.6,0
2026-03-14 16:00:00,0.308,7.5,0.347,6.1,0
2026-03-14 17:00:00,0.308,7.2,0.347,5.8,0
2026-03-14 18:00:00,0.308,7,0.347,5.6,0
2026-03-14 19:00:00,0.309,6.9,0.347,5.4,0
2026-03-14 20:00:00,0.309,6.7,0.347,5.4,0
2026-03-14 21:00:00,0.309,6.7,0.346,5.3,0
2026-03-14 22:00:00,0.309,6.6,0.347,5.3,0
2026-03-14 23:00:00,0.309,6.5,0.347,5.3,0
2026-03-15 00:00:00,0.309,6.6,0.346,5.5,0
2026-03-15 01:00:00,0.309,6.6,0.346,5.8,0
2026-03-15 02:00:00,0.308,6.8,0.345,6.2,0
2026-03-15 03:00:00,0.308,7,0.345,6.9,0
2026-03-15 04:00:00,0.308,7.5,0.344,8.3,0
2026-03-15 05:00:00,0.307,8.1,0.343,9.4,0
2026-03-15 06:00:00,0.307,8.6,0.342,10,0
2026-03-15 07:00:00,0.307,8.9,0.342,10.2,0
2026-03-15 08:00:00,0.307,9.1,0.342,10.1,0
2026-03-15 09:00:00,0.307,9.1,0.342,9.8,0
2026-03-15 10:00:00,0.307,8.9,0.342,9.3,0
2026-03-15 11:00:00,0.307,8.8,0.342,8.8,0
2026-03-15 12:00:00,0.307,8.6,0.343,8.3,0
2026-03-15 13:00:00,0.307,8.3,0.343,7.8,0
2026-03-15 14:00:00,0.307,8,0.343,7.2,0
2026-03-15 15:00:00,0.307,7.6,0.343,6.7,0
2026-03-15 16:00:00,0.307,7.3,0.344,6.2,0
2026-03-15 17:00:00,0.308,7.1,0.344,5.8,0
2026-03-15 18:00:00,0.308,6.9,0.344,5.5,0
2026-03-15 19:00:00,0.308,6.7,0.344,5.2,0
2026-03-15 20:00:00,0.308,6.4,0.344,4.8,0
2026-03-15 21:00:00,0.308,6.2,0.344,4.5,0
2026-03-15 22:00:00,0.309,5.9,0.344,4.2,0
2026-03-15 23:00:00,0.309,5.8,0.344,4.1,0
2026-03-16 00:00:00,0.309,5.7,0.344,4.4,0
2026-03-16 01:00:00,0.309,5.9,0.343,5.3,0
2026-03-16 02:00:00,0.308,6.3,0.342,6.9,0
2026-03-16 03:00:00,0.308,6.9,0.341,8.5,0
2026-03-16 04:00:00,0.307,7.6,0.34,9.9,0
2026-03-16 05:00:00,0.307,8.3,0.34,10.9,0
2026-03-16 06:00:00,0.306,8.9,0.339,11.5,0
2026-03-16 07:00:00,0.306,9.3,0.339,11.5,0
2026-03-16 08:00:00,0.306,9.5,0.339,11.2,0
2026-03-16 09:00:00,0.306,9.5,0.339,10.8,0
2026-03-16 10:00:00,0.306,9.4,0.339,10.3,0
2026-03-16 11:00:00,0.306,9.2,0.339,9.6,0
2026-03-16 12:00:00,0.306,8.8,0.34,8.9,0
2026-03-16 13:00:00,0.306,8.5,0.34,8.3,0
2026-03-16 14:00:00,0.306,8.2,0.34,7.8,0
2026-03-16 15:00:00,0.307,7.9,0.34,7.3,0
2026-03-16 16:00:00,0.307,7.6,0.341,6.9,0
2026-03-16 17:00:00,0.307,7.4,0.341,6.6,0
2026-03-16 18:00:00,0.307,7.2,0.341,6.2,0
2026-03-16 19:00:00,0.307,6.9,0.342,5.8,0
2026-03-16 20:00:00,0.307,6.8,0.342,5.6,0
2026-03-16 21:00:00,0.307,6.5,0.342,5.2,0
2026-03-16 22:00:00,0.308,6.4,0.342,4.9,0
2026-03-16 23:00:00,0.308,6.2,0.342,4.7,0
2026-03-17 00:00:00,0.308,6.1,0.342,5.4,0
2026-03-17 01:00:00,0.308,6.2,0.341,6.9,0
2026-03-17 02:00:00,0.307,6.8,0.34,8.8,0
2026-03-17 03:00:00,0.307,7.5,0.338,10.7,0
2026-03-17 04:00:00,0.306,8.3,0.337,12.4,0
2026-03-17 05:00:00,0.305,9.3,0.336,13.6,0
2026-03-17 06:00:00,0.305,10.1,0.335,14.3,0
2026-03-17 07:00:00,0.304,10.7,0.335,14.3,0
2026-03-17 08:00:00,0.304,11,0.335,13.9,0
2026-03-17 09:00:00,0.304,11.1,0.335,13.3,0
2026-03-17 10:00:00,0.304,10.9,0.336,12.5,0
2026-03-17 11:00:00,0.304,10.5,0.336,11.6,0
2026-03-17 12:00:00,0.304,10.2,0.336,10.9,0
2026-03-17 13:00:00,0.304,9.8,0.337,10.2,0
2026-03-17 14:00:00,0.305,9.5,0.337,9.8,0
2026-03-17 15:00:00,0.305,9.2,0.337,9.3,0
2026-03-17 16:00:00,0.305,9,0.337,9.1,0
2026-03-17 17:00:00,0.305,8.9,0.338,9,0.5
2026-03-17 18:00:00,0.305,8.8,0.338,8.9,1
2026-03-17 19:00:00,0.305,8.8,0.349,8.8,0.5
2026-03-17 20:00:00,0.321,8.8,0.359,8.7,0
2026-03-17 21:00:00,0.34,8.7,0.363,8.8,1
2026-03-17 22:00:00,0.345,8.8,0.365,8.8,1
2026-03-17 23:00:00,0.373,8.8,0.372,8.8,0.5
2026-03-18 00:00:00,0.386,8.8,0.375,8.9,0
2026-03-18 01:00:00,0.386,8.9,0.374,9.1,0.5
2026-03-18 02:00:00,0.387,9,0.375,9.3,0.5
2026-03-18 03:00:00,0.388,9.1,0.374,9.6,1
2026-03-18 04:00:00,0.388,9.3,0.374,9.7,0
2026-03-18 05:00:00,0.388,9.3,0.372,9.7,0
2026-03-18 06:00:00,0.387,9.3,0.371,9.7,0
2026-03-18 07:00:00,0.387,9.3,0.37,9.6,0
2026-03-18 08:00:00,0.387,9.2,0.369,9.4,0
2026-03-18 09:00:00,0.387,9.2,0.368,9.3,0
2026-03-18 10:00:00,0.386,9.1,0.368,9,0
2026-03-18 11:00:00,0.384,8.9,0.368,8.7,0
2026-03-18 12:00:00,0.38,8.8,0.368,8.4,0
2026-03-18 13:00:00,0.377,8.6,0.368,8.1,0
2026-03-18 14:00:00,0.375,8.4,0.368,7.8,0
2026-03-18 15:00:00,0.366,8.2,0.368,7.2,0
2026-03-18 16:00:00,0.363,7.9,0.369,6.8,0
2026-03-18 17:00:00,0.361,7.6,0.369,6.3,0
2026-03-18 18:00:00,0.36,7.4,0.369,6,0
2026-03-18 19:00:00,0.359,7.1,0.369,5.6,0
2026-03-18 20:00:00,0.358,6.9,0.37,5.2,0
2026-03-18 21:00:00,0.357,6.7,0.37,4.8,0
2026-03-18 22:00:00,0.356,6.4,0.37,4.6,0
2026-03-18 23:00:00,0.355,6.2,0.37,4.4,0
2026-03-19 00:00:00,0.355,6.1,0.369,5.3,0
2026-03-19 01:00:00,0.354,6.3,0.368,7.4,0
2026-03-19 02:00:00,0.353,6.8,0.366,9.6,0
2026-03-19 03:00:00,0.351,7.6,0.363,11.5,0
2026-03-19 04:00:00,0.348,8.4,0.362,13,0
2026-03-19 05:00:00,0.346,9.3,0.36,13.9,0
2026-03-19 06:00:00,0.344,10,0.36,14.2,0
2026-03-19 07:00:00,0.343,10.4,0.359,13.8,0
2026-03-19 08:00:00,0.342,10.6,0.359,13.2,0
2026-03-19 09:00:00,0.341,10.6,0.359,12.3,0
2026-03-19 10:00:00,0.34,10.3,0.359,11.3,0
2026-03-19 11:00:00,0.336,9.9,0.359,10.3,0
2026-03-19 12:00:00,0.336,9.5,0.36,9.5,0
2026-03-19 13:00:00,0.336,9,0.36,8.7,0
2026-03-19 14:00:00,0.336,8.7,0.36,8,0
2026-03-19 15:00:00,0.335,8.2,0.361,7.3,0
2026-03-19 16:00:00,0.335,7.8,0.361,6.8,0
2026-03-19 17:00:00,0.335,7.6,0.362,6.3,0
2026-03-19 18:00:00,0.335,7.3,0.362,6,0
2026-03-19 19:00:00,0.335,7,0.362,5.6,0
2026-03-19 20:00:00,0.335,6.8,0.362,5.3,0
2026-03-19 21:00:00,0.335,6.7,0.362,5.1,0
2026-03-19 22:00:00,0.335,6.4,0.362,4.8,0
2026-03-19 23:00:00,0.335,6.3,0.362,4.7,0
2026-03-20 00:00:00,0.335,6.2,0.362,5.5,0
2026-03-20 01:00:00,0.335,6.4,0.36,7.6,0
2026-03-20 02:00:00,0.334,7,0.359,9.9,0
2026-03-20 03:00:00,0.333,7.8,0.357,11.8,0
2026-03-20 04:00:00,0.332,8.6,0.355,13.1,0
2026-03-20 05:00:00,0.331,9.3,0.355,13.7,0
2026-03-20 06:00:00,0.329,9.9,0.354,14,0
2026-03-20 07:00:00,0.329,10.3,0.353,13.7,0
2026-03-20 08:00:00,0.328,10.5,0.353,13.1,0
2026-03-20 09:00:00,0.327,10.6,0.354,12.4,0
2026-03-20 10:00:00,0.327,10.4,0.354,11.6,0
2026-03-20 11:00:00,0.327,10.1,0.354,10.8,0
2026-03-20 12:00:00,0.327,9.8,0.354,10.1,0
2026-03-20 13:00:00,0.327,9.3,0.355,9.4,0
2026-03-20 14:00:00,0.327,8.9,0.355,8.7,0
2026-03-20 15:00:00,0.327,8.7,0.355,8.1,0
2026-03-20 16:00:00,0.327,8.3,0.355,7.6,0
2026-03-20 17:00:00,0.327,8,0.356,7.1,0
2026-03-20 18:00:00,0.327,7.7,0.356,6.7,0
2026-03-20 19:00:00,0.327,7.4,0.356,6.3,0
2026-03-20 20:00:00,0.327,7.2,0.356,6,0
2026-03-20 21:00:00,0.327,7,0.356,5.8,0
2026-03-20 22:00:00,0.327,6.9,0.356,5.7,0
2026-03-20 23:00:00,0.327,6.8,0.356,5.7,0
2026-03-21 00:00:00,0.327,6.8,0.356,6.1,0
2026-03-21 01:00:00,0.327,7,0.355,7.2,0
2026-03-21 02:00:00,0.326,7.5,0.353,9.2,0
2026-03-21 03:00:00,0.325,8.3,0.352,11.5,0
2026-03-21 04:00:00,0.325,9.2,0.35,13.4,0
2026-03-21 05:00:00,0.324,10.1,0.349,14.6,0
2026-03-21 06:00:00,0.323,10.8,0.348,15,0
2026-03-21 07:00:00,0.322,11.2,0.348,14.7,0
2026-03-21 08:00:00,0.322,11.3,0.348,13.9,0
2026-03-21 09:00:00,0.321,11.2,0.348,13,0
2026-03-21 10:00:00,0.321,10.9,0.348,12.1,0
2026-03-21 11:00:00,0.321,10.5,0.348,11.1,0
2026-03-21 12:00:00,0.321,10.2,0.349,10.3,0
2026-03-21 13:00:00,0.322,9.7,0.349,9.5,0
