time,tree_SM,tree_temperature,soil_moisture_10cm,soil_temperature_10cm,precipitation
2026-02-23 09:00:00,0.258,5.3,0.259,4.6,0
2026-02-23 10:00:00,0.263,4.2,0.259,4.3,0
2026-02-23 11:00:00,0.267,3,0.259,4,0
2026-02-23 12:00:00,0.27,1.9,0.259,3.8,0
2026-02-23 13:00:00,0.273,1.3,0.26,3.5,0
2026-02-23 14:00:00,0.275,1.2,0.26,3.3,0
2026-02-23 15:00:00,0.277,1.3,0.26,3.2,0
2026-02-23 16:00:00,0.278,1,0.26,3.1,0
2026-02-23 17:00:00,0.28,0.7,0.26,2.9,0
2026-02-23 18:00:00,0.28,0.4,0.26,2.8,0
2026-02-23 19:00:00,0.282,0.5,0.26,2.7,0
2026-02-23 20:00:00,0.283,0.6,0.26,2.6,0
2026-02-23 21:00:00,0.284,1.5,0.26,2.7,0
2026-02-23 22:00:00,0.284,1.9,0.26,2.8,0
2026-02-23 23:00:00,0.284,2.4,0.26,2.8,0
2026-02-24 00:00:00,0.284,3.2,0.26,3,0
2026-02-24 01:00:00,0.284,2.6,0.26,2.9,1
2026-02-24 02:00:00,0.284,2.5,0.259,2.9,2.5
2026-02-24 03:00:00,0.299,2.2,0.258,3.1,3.5
2026-02-24 04:00:00,0.325,2.6,0.286,3.2,3
2026-02-24 05:00:00,0.327,3,0.332,3.4,0
2026-02-24 06:00:00,0.326,3.3,0.332,3.6,0
2026-02-24 07:00:00,0.327,3.4,0.333,3.8,0
2026-02-24 08:00:00,0.327,3.6,0.332,3.9,0
2026-02-24 09:00:00,0.326,3.5,0.33,4,0
2026-02-24 10:00:00,0.326,3.4,0.327,4,0
2026-02-24 11:00:00,0.323,3.2,0.325,3.9,0
2026-02-24 12:00:00,0.323,2.2,0.323,3.9,0
2026-02-24 13:00:00,0.323,1.3,0.322,3.6,0
2026-02-24 14:00:00,0.323,0.9,0.321,3.4,0
2026-02-24 15:00:00,0.323,0.3,0.321,3.1,0
2026-02-24 16:00:00,0.322,-0.1,0.32,2.9,0
2026-02-24 17:00:00,0.322,-0.3,0.32,2.7,0
